I, [2017-08-24T13:17:16.455249 #44576]  INFO -- Kitchen: -----> Starting Kitchen (v1.16.0)
E, [2017-08-24T13:17:16.455593 #44576] ERROR -- Kitchen: ------Exception-------
E, [2017-08-24T13:17:16.455626 #44576] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-08-24T13:17:16.455647 #44576] ERROR -- Kitchen: Message: Kitchen YAML file /Users/Davy/Cloudreach/CODE/training/aws/serverless/github-releases-update/.kitchen.yml does not exist.
E, [2017-08-24T13:17:16.455665 #44576] ERROR -- Kitchen: ----------------------
E, [2017-08-24T13:17:16.455678 #44576] ERROR -- Kitchen: ------Backtrace-------
E, [2017-08-24T13:17:16.455693 #44576] ERROR -- Kitchen: /Users/Davy/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2017-08-24T13:17:16.455705 #44576] ERROR -- Kitchen: /Users/Davy/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:152:in `data'
E, [2017-08-24T13:17:16.455715 #44576] ERROR -- Kitchen: /Users/Davy/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:131:in `suites'
E, [2017-08-24T13:17:16.455734 #44576] ERROR -- Kitchen: /Users/Davy/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2017-08-24T13:17:16.455755 #44576] ERROR -- Kitchen: /Users/Davy/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2017-08-24T13:17:16.455765 #44576] ERROR -- Kitchen: /Users/Davy/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:117:in `instances'
E, [2017-08-24T13:17:16.455773 #44576] ERROR -- Kitchen: /Users/Davy/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2017-08-24T13:17:16.455782 #44576] ERROR -- Kitchen: /Users/Davy/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2017-08-24T13:17:16.455791 #44576] ERROR -- Kitchen: /Users/Davy/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command/test.rb:40:in `block in call'
E, [2017-08-24T13:17:16.455800 #44576] ERROR -- Kitchen: /Users/Davy/.rbenv/versions/2.3.1/lib/ruby/2.3.0/benchmark.rb:293:in `measure'
E, [2017-08-24T13:17:16.455809 #44576] ERROR -- Kitchen: /Users/Davy/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command/test.rb:38:in `call'
E, [2017-08-24T13:17:16.455818 #44576] ERROR -- Kitchen: /Users/Davy/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:53:in `perform'
E, [2017-08-24T13:17:16.455826 #44576] ERROR -- Kitchen: /Users/Davy/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:234:in `test'
E, [2017-08-24T13:17:16.455835 #44576] ERROR -- Kitchen: /Users/Davy/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2017-08-24T13:17:16.455847 #44576] ERROR -- Kitchen: /Users/Davy/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-08-24T13:17:16.455856 #44576] ERROR -- Kitchen: /Users/Davy/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-08-24T13:17:16.455865 #44576] ERROR -- Kitchen: /Users/Davy/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2017-08-24T13:17:16.455874 #44576] ERROR -- Kitchen: /Users/Davy/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2017-08-24T13:17:16.455883 #44576] ERROR -- Kitchen: /Users/Davy/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/bin/kitchen:13:in `block in <top (required)>'
E, [2017-08-24T13:17:16.455891 #44576] ERROR -- Kitchen: /Users/Davy/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2017-08-24T13:17:16.455900 #44576] ERROR -- Kitchen: /Users/Davy/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/bin/kitchen:13:in `<top (required)>'
E, [2017-08-24T13:17:16.455916 #44576] ERROR -- Kitchen: /Users/Davy/.rbenv/versions/2.3.1/bin/kitchen:23:in `load'
E, [2017-08-24T13:17:16.455926 #44576] ERROR -- Kitchen: /Users/Davy/.rbenv/versions/2.3.1/bin/kitchen:23:in `<main>'
E, [2017-08-24T13:17:16.455934 #44576] ERROR -- Kitchen: ----End Backtrace-----
